Date,Time,Close
9/6/21,10:15:00 AM,4232.25
9/6/21,10:30:00 AM,4229.75
9/6/21,10:45:00 AM,4227.5
9/6/21,11:00:00 AM,4228.25
9/6/21,11:15:00 AM,4229
9/6/21,11:30:00 AM,4229.75
9/6/21,11:45:00 AM,4230.25
9/6/21,12:00:00 PM,4229.5
9/6/21,12:15:00 PM,4231.25
9/6/21,12:30:00 PM,4229
9/6/21,12:45:00 PM,4229.25
9/6/21,1:00:00 PM,4228.75
9/6/21,1:15:00 PM,4231
9/6/21,1:30:00 PM,4228.25
9/6/21,1:45:00 PM,4227
9/6/21,2:00:00 PM,4225.25
9/6/21,2:15:00 PM,4221
9/6/21,2:30:00 PM,4219
9/6/21,2:45:00 PM,4219.25
9/6/21,3:00:00 PM,4221.75
9/6/21,3:30:00 PM,4222
9/6/21,3:45:00 PM,4222.25
10/6/21,9:30:00 AM,4232.75
10/6/21,9:45:00 AM,4227.25
10/6/21,10:00:00 AM,4230
10/6/21,10:15:00 AM,4234.75
10/6/21,10:30:00 AM,4234.25
10/6/21,10:45:00 AM,4237.25
10/6/21,11:00:00 AM,4235.5
10/6/21,11:15:00 AM,4235.25
10/6/21,11:30:00 AM,4241
10/6/21,11:45:00 AM,4241.75
10/6/21,12:00:00 PM,4242.25
10/6/21,12:15:00 PM,4240.25
10/6/21,12:30:00 PM,4241
10/6/21,12:45:00 PM,4243.5
10/6/21,1:00:00 PM,4242.25
10/6/21,1:15:00 PM,4239.5
10/6/21,1:30:00 PM,4238.75
10/6/21,1:45:00 PM,4240.5
10/6/21,2:00:00 PM,4238.75
10/6/21,2:15:00 PM,4237.5
10/6/21,2:30:00 PM,4236
10/6/21,2:45:00 PM,4238.5
10/6/21,3:00:00 PM,4237.25
10/6/21,3:30:00 PM,4239
10/6/21,3:45:00 PM,4238.5
11/6/21,9:30:00 AM,4236
11/6/21,9:45:00 AM,4236.25
11/6/21,10:00:00 AM,4236.5
11/6/21,10:15:00 AM,4237.5
11/6/21,10:30:00 AM,4236.75
11/6/21,10:45:00 AM,4236.25
11/6/21,11:00:00 AM,4235
11/6/21,11:15:00 AM,4232.75
11/6/21,11:30:00 AM,4232
11/6/21,11:45:00 AM,4234.5
11/6/21,12:00:00 PM,4234.5
11/6/21,12:15:00 PM,4235.25
11/6/21,12:30:00 PM,4236.25
11/6/21,12:45:00 PM,4237.75
11/6/21,1:00:00 PM,4239.75
11/6/21,1:15:00 PM,4240
11/6/21,1:30:00 PM,4240.5
11/6/21,1:45:00 PM,4240.5
11/6/21,2:00:00 PM,4237.75
11/6/21,2:15:00 PM,4238
11/6/21,2:30:00 PM,4239.5
11/6/21,2:45:00 PM,4245.5
11/6/21,3:00:00 PM,4245.25
11/6/21,3:30:00 PM,4245
11/6/21,3:45:00 PM,4245
14/06/2021,9:30:00 AM,4228
14/06/2021,9:45:00 AM,4231
14/06/2021,10:00:00 AM,4230
14/06/2021,10:15:00 AM,4228.25
14/06/2021,10:30:00 AM,4227.5
14/06/2021,10:45:00 AM,4227.5
14/06/2021,11:00:00 AM,4229
14/06/2021,11:15:00 AM,4227.5
14/06/2021,11:30:00 AM,4225.25
14/06/2021,11:45:00 AM,4225.25
14/06/2021,12:00:00 PM,4226.75
14/06/2021,12:15:00 PM,4227.5
14/06/2021,12:30:00 PM,4227
14/06/2021,12:45:00 PM,4226.75
14/06/2021,1:00:00 PM,4226.25
14/06/2021,1:15:00 PM,4225.25
14/06/2021,1:30:00 PM,4229
14/06/2021,1:45:00 PM,4228.75
14/06/2021,2:00:00 PM,4228.25
14/06/2021,2:15:00 PM,4230.5
14/06/2021,2:30:00 PM,4235
14/06/2021,2:45:00 PM,4247.25
14/06/2021,3:00:00 PM,4246
14/06/2021,3:30:00 PM,4245.5
14/06/2021,3:45:00 PM,4246.25
15/06/2021,9:30:00 AM,4235.5
15/06/2021,9:45:00 AM,4233.5
15/06/2021,10:00:00 AM,4233.75
15/06/2021,10:15:00 AM,4234.25
15/06/2021,10:30:00 AM,4232.25
15/06/2021,10:45:00 AM,4232.25
15/06/2021,11:00:00 AM,4234.5
15/06/2021,11:15:00 AM,4237
15/06/2021,11:30:00 AM,4234.75
15/06/2021,11:45:00 AM,4235
15/06/2021,12:00:00 PM,4234.75
15/06/2021,12:15:00 PM,4233.5
15/06/2021,12:30:00 PM,4235.5
15/06/2021,12:45:00 PM,4239
15/06/2021,1:00:00 PM,4237
15/06/2021,1:15:00 PM,4238.75
15/06/2021,1:30:00 PM,4238.25
